pos	country_code	country	localite	category	value	date	sources	link	sdr_id	sdr_name	sdr_level
78	GN	Guinea	Gueckedou	Cases	95	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	38	Gueckedou	ADM2
79	GN	Guinea	Kissidougou	Cases	6	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	17	Kissidougou	ADM2
80	GN	Guinea	Macenta	Cases	21	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	40	Macenta	ADM2
81	GN	Guinea	National	Cases	159	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
82	GN	Guinea	National	"Confirmed cases"	71	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
83	GN	Guinea	National	Deaths	106	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
84	GN	Guinea	National	"Probable cases"	34	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
85	GN	Guinea	National	"Suspected cases"	54	41740	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
86	LR	Liberia	"Bong County"	Cases	5	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5514	Bong	ADM1
87	LR	Liberia	"Bong County"	Deaths	0	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5514	Bong	ADM1
88	LR	Liberia	"Grand Cape Mount"	Cases	1	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5517	"Grand Cape Mount"	ADM1
89	LR	Liberia	"Grand Cape Mount"	Deaths	0	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5517	"Grand Cape Mount"	ADM1
90	LR	Liberia	"Lofa County"	Cases	10	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5520	Lofa	ADM1
91	LR	Liberia	"Lofa County"	Deaths	9	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5520	Lofa	ADM1
92	LR	Liberia	"Margibi County"	Cases	6	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5521	Margibi	ADM1
93	LR	Liberia	"Margibi County"	Deaths	2	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5521	Margibi	ADM1
94	LR	Liberia	"Montserrado County"	Cases	1	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5523	Montserrado	ADM1
95	LR	Liberia	"Montserrado County"	Deaths	1	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5523	Montserrado	ADM1
96	LR	Liberia	National	Cases	26	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	0		
97	LR	Liberia	National	"Confirmed cases"	5	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	0		
98	LR	Liberia	National	Deaths	13	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	0		
99	LR	Liberia	"Nimba County"	Cases	3	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5524	Nimba	ADM1
100	LR	Liberia	"Nimba County"	Deaths	1	41742	Gvt	https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilEbola%20Virus%20Disease%20Epidemic%20in%20Liberia.%20Sitrep%20No.11%281%29_0.pdf	5524	Nimba	ADM1
101	GN	Guinea	National	Cases	168	41743	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
102	GN	Guinea	National	Deaths	108	41743	WHO	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-14-avril-2014	0		
103	GN	Guinea	Conakry	Cases	47	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	2	Conakry	ADM1
104	GN	Guinea	Conakry	Deaths	16	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	2	Conakry	ADM1
105	GN	Guinea	"Dabola "	Cases	4	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	14	Dabola	ADM2
106	GN	Guinea	"Dabola "	Deaths	4	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	14	Dabola	ADM2
107	GN	Guinea	"Dinguiraye "	Cases	1	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	15	Dinguiraye	ADM2
108	GN	Guinea	"Dinguiraye "	Deaths	1	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	15	Dinguiraye	ADM2
109	GN	Guinea	Gueckedou	Cases	117	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	38	Gueckedou	ADM2
110	GN	Guinea	Gueckedou	Deaths	80	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	38	Gueckedou	ADM2
111	GN	Guinea	Kissidougou	Cases	6	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	17	Kissidougou	ADM2
112	GN	Guinea	Kissidougou	Deaths	5	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	17	Kissidougou	ADM2
113	GN	Guinea	Macenta	Cases	22	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	40	Macenta	ADM2
114	GN	Guinea	Macenta	Deaths	16	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	40	Macenta	ADM2
115	GN	Guinea	National	Cases	197	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	0		
116	GN	Guinea	National	"Confirmed cases"	101	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	0		
117	GN	Guinea	National	Deaths	122	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	0		
118	GN	Guinea	National	"Probable cases"	43	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	0		
119	GN	Guinea	National	"Suspected cases"	53	41745	"Ministere de la Sante"	http://reliefweb.int/report/guinea/maladie-virus-ebola-afrique-de-l-ouest-mise-jour-17-avril-2014	0		
120	LR	Liberia	"Bong County"	Cases	5	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5514	Bong	ADM1
121	LR	Liberia	"Bong County"	Deaths	0	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5514	Bong	ADM1
122	LR	Liberia	"Grand Cape Mount"	Cases	1	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5517	"Grand Cape Mount"	ADM1
123	LR	Liberia	"Grand Cape Mount"	Deaths	0	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5517	"Grand Cape Mount"	ADM1
124	LR	Liberia	"Lofa County"	Cases	10	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5520	Lofa	ADM1
125	LR	Liberia	"Lofa County"	Deaths	9	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5520	Lofa	ADM1
126	LR	Liberia	"Margibi County"	Cases	6	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5521	Margibi	ADM1
127	LR	Liberia	"Margibi County"	Deaths	2	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5521	Margibi	ADM1
128	LR	Liberia	"Montserrado County"	Cases	1	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5523	Montserrado	ADM1
129	LR	Liberia	"Montserrado County"	Deaths	1	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5523	Montserrado	ADM1
130	LR	Liberia	National	Cases	27	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	0		
131	LR	Liberia	National	"Confirmed cases"	6	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	0		
132	LR	Liberia	National	Deaths	13	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	0		
133	LR	Liberia	"Nimba County"	Cases	4	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5524	Nimba	ADM1
134	LR	Liberia	"Nimba County"	Deaths	1	41745	UNICEF	https://wca.humanitarianresponse.info/fr/system/files/documents/files/UNICEF%20Liberia%20SitRep16%20Ebola%20Viral%20Disease%2016Apr2014_1.pdf	5524	Nimba	ADM1
