Destination Country,Donor,Recipient Organization,Emergency title,Response Plan/Appeal title,Project code,Emergency year,USD committed/contributed,USD pledged,Description,IASC Standard Sector,Original currency amount,Original currency unit,Decision date,Contribution status,Reported by
Gambia,Canada,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"8,961",0,(Gambia) Gambia - IFRC Emergency Appeal,HEALTH,"10,000",CAD,10/9/14,Commitment,Donor
Gambia,Germany,Arbeiter-Samariter-Bund Deutschland e.V,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"179,881",0,"(Gambia) Prevention and support (training, sensibilization , medical aid and equipment, sreening) for containment of the Ebola crisis im Gambia (VN05 321.50 GMB 01/14)",HEALTH,"141,566",EUR,10/15/14,Commitment,Donor
Gambia,Sweden,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"200,000",0,(Gambia) Response to Ebola outbreak,HEALTH,"1,504,000",SEK,10/6/14,Paid contribution,Donor and Agency
Ghana,Denmark,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"1,700,000",(Ghana) support Ghana’s Ebola Preparedness Plan,HEALTH,,USD,10/29/14,Pledge,Donor
Ghana,Denmark,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"3,609,626",0,(Ghana) strengthening Ebola preparedness in Ghana,HEALTH,"2,700,000",EUR,10/22/14,Commitment,Donor
Ghana,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"162,000",0,(Ghana) Response to Ebola outbreak,HEALTH,"949,320",DKK,10/31/14,Paid contribution,Agency
Ghana,Denmark,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"3,609,626",0,(Ghana) strengthening of Ebola preparedness,HEALTH,"2,700,000",EUR,10/22/14,Commitment,Donor
Ghana,Germany,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"108,000",0,(Ghana) Ebola Response,HEALTH,"84,996",EUR,11/4/14,Paid contribution,Donor and Agency
Ghana,Norway,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"961,688",0,(Ghana) Ebola Response (GHA-14/0006),HEALTH,"6,200,000",NOK,10/1/14,Paid contribution,Donor
Ghana,Private (individuals & organisations),Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(Ghana) (In-kind) Kosmos Energy met with H.E. Kwesi Amissah-Arthur, Vice President of Ghana, to announce Kosmos Energy's donation of critical equipment for three Ebola treatment centers in Ghana, to be located in Tema, Kumasi, and Tamale. Kosmos will procure and provide generators, incinerators, and other needed supplies for the soon-to-be completed facilities. The equipment and supplies are valued at approximately US$325,000. This donation of critical equipment and supplies comes after extensive discussions with the Ministry of Health (as well as the USG) to understand Ghana’s needs and level of preparedness.",HEALTH,,USD,10/22/14,Paid contribution,Donor
Ghana,Sweden,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"402,812",0,(Ghana) Response to Ebola outbreak,HEALTH,"2,916,359",SEK,10/6/14,Paid contribution,Donor and Agency
Ghana,Sweden,Swedish Civil Contingencies Agency (MSB),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"16,988",0,(Ghana) INSARAG IEC Teams Medical Personell to support UNDAC,COORDINATION AND SUPPORT SERVICES,"125,000",SEK,11/13/14,Commitment,Donor
Guinea,African Development Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,000,000",0,(Guinea) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,9/19/14,Paid contribution,Donor and Agency
Guinea,African Rainbow Minerals,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,"1,000,000","(Guinea) clinical management, social mobilization, medical coordination and other key response activities",HEALTH,,USD,10/28/14,Pledge,Donor
Guinea,Alcoa Foundation,Centers for Disease Control Foundation,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"80,000",0,"(Guinea) Fir the Ebola Awareness Campaign, via multiple local literacy centers throughout Boke. Ebola Awareness campaigns delivered in multiple areas in Kamsar Village and Kamsar Cite.",HEALTH,,USD,10/13/14,Commitment,Donor
Guinea,Allocation of unearmarked funds by UNDP,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"181,949",0,(Guinea) Emergency Aid in response to the Ebola hemorrhagic fever outbreak (through UNDP/USA),HEALTH,,USD,7/30/14,Paid contribution,Agency
Guinea,Allocation of unearmarked funds by UNICEF,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"250,000",0,(Guinea) Emergency Aid in response to the Ebola hemorrhagic fever outbreak (through UNICEF/Guinea),HEALTH,,USD,5/19/14,Paid contribution,Agency
Guinea,Bill and Melinda Gates Foundation,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"676,000",0,(Guinea) to provide critical emergency support to populations affected by the Ebola Virus Disease Outbreak in West Africa (through US Fund for UNICEF),HEALTH,,USD,9/10/14,Paid contribution,Donor and Agency
Guinea,Brazil,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(Guinea) in kind - four supply kits to Guinea in an attempt to bring the ebola epidemic under control. A single kit can keep 500 people served for three months.,HEALTH,,USD,8/27/14,Paid contribution,Donor
Guinea,Canada,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"104,597",0,(Guinea) IFRC Emergency Appeal,HEALTH,"95,183",CHF,8/28/14,Paid contribution,Agency
Guinea,Canada,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"2,854,839",0,(Guinea) Response (D001611),HEALTH,"3,186,000",CAD,10/17/14,Paid contribution,Donor and Agency
Guinea,Canada,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"633,484",0,(Guinea) MSF Emergency Response to Ebola in Guinea and region,,,,,,
Guinea,Central Emergency Response Fund,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"294,633",0,(Guinea) Assistance alimentaire d’urgence en faveur des personnes affectées et particulièrement vulnérables de l’épidémie Ebola dans la région forestière,FOOD,,USD,4/24/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/72256/561,2014,"1,265,381",0,(Guinea) Special Operation (200760) Provision of Humanitarian Air Services in response to the Ebola Virus Disease Outbreak in West Africa,COORDINATION AND SUPPORT SERVICES,,USD,9/4/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"519,313",0,(Guinea) Projet de riposte à l’épidémie de Fièvre hémorragique virale Ebola en Guinée,HEALTH,,USD,4/23/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,United Nations Population Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71103/1171,2014,"135,738",0,(Guinea) Prévention de la transmission de la fièvre hémorragique en direction des jeunes et des femmes en ceinte dans les préfectures à haute prévalence épidémiologique,HEALTH,,USD,4/23/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"505,436",0,"(Guinea) Promouvoir des comportements de prévention et de lutte contre la fièvre hémorragique virale Ebola dans les districts sanitaires de Guéckedou, Macenta, Kissidougou et Conakry",HEALTH,,USD,4/25/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"995,549",0,(Guinea) Promouvoir et renforcer des comportements de prévention et de lutte contre la fièvre hémorragique à virus Ebola et soutenir les veuves et les orphelins causés par cette maladie,HEALTH,,USD,9/25/14,Commitment,Donor
Guinea,Central Emergency Response Fund,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"2,612,224",0,(Guinea) Projet d’assistance alimentaire d’urgence en faveur des personnes affectées par l’épidémie EBOLA et particulièrement vulnérables à l’insécurité alimentaire en Guinée.,FOOD,,USD,9/24/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"554,766",0,(Guinea) Projet d’appui à l’arrêt de la transmission du virus Ebola dans les zones touchées et prévenir la propagation de l'épidémie à de nouvelles zones en Guinée,HEALTH,,USD,9/24/14,Paid contribution,Donor and Agency
Guinea,Central Emergency Response Fund,United Nations Population Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71103/1171,2014,"448,444",0,(Guinea) Projet de prévention de la transmission de la fièvre hémorragique en direction des jeunes et des femmes enceinte dans les préfectures à haute prévalence épidémiologique,HEALTH,"448,444",USD,10/1/14,Commitment,Donor
Guinea,Denmark,Danish Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71123/5461,2014,"91,091",0,(Guinea) Psycho social activities and awareness campaigns. (46.H.7-1-206),HEALTH,"500,000",DKK,6/2/14,Commitment,Donor
Guinea,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"378,376",0,(Guinea) Response to Ebola outbreak,HEALTH,"2,216,905",DKK,10/31/14,Paid contribution,Agency
Guinea,European Commission's Humanitarian Aid and Civil Protection Department,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/72256/561,2014,"1,270,648",0,(Guinea) Provision of Humanitarian Air Services in response to the Ebola Virus Disease Outbreak in West Africa. (ECHO/-WF/EDF/2014/02004),COORDINATION AND SUPPORT SERVICES,"1,000,000",EUR,10/8/14,Paid contribution,Donor and Agency
Guinea,European Commission's Humanitarian Aid and Civil Protection Department,Alliance for International Medical Action,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"762,389",0,(Guinea) Réponse à l’urgence régionale de maladie à Virus Ebola en Afrique de l’Ouest (ECHO/-WF/EDF/2014/02005),HEALTH,"600,000",EUR,10/8/14,Commitment,Donor
Guinea,European Commission's Humanitarian Aid and Civil Protection Department,Médecins sans Frontières - Switzerland,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71116/5223,2014,"2,613,480",0,"(Guinea) Small-scale/epid. / Response multidisciplinary to an Hemorrhagic Fever Outbreak in Guinea, Sierra Leone and Lofa County in Liberia. (ECHO/DRF/BUD/2014/93001)",HEALTH,"1,900,000",EUR,9/30/14,Commitment,Donor
Guinea,European Commission's Humanitarian Aid and Civil Protection Department,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"1,375,516",0,(Guinea) Small-scale/epid. / West Africa Ebola Outbreak (ECHO/DRF/BUD/2014/93003),HEALTH,"1,000,000",EUR,8/27/14,Commitment,Donor
Guinea,European Commission's Humanitarian Aid and Civil Protection Department,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,349,296",0,"(Guinea) Small-scale/epid. / Ebola outbreak surveillance, readiness and response (ECHO/DRF/BUD/2014/93002)",HEALTH,"1,000,000",EUR,8/20/14,Commitment,Donor and Agency
Guinea,France,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"674,764",0,(Guinea) (In-kind) 24 public health experts,HEALTH,"500,000",EUR,8/27/14,Commitment,Donor
Guinea,France,French Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"206,327",0,"(Guinea) Organiser des activités de désinfection, de suivi des cas contacts et de sensibilisation en Guinée forestière, en appui à la Croix-Rouge guinéenne.",HEALTH,"150,000",EUR,4/24/14,Commitment,Donor
Guinea,France,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"6,353,240",0,(Guinea) In-kind- Isoler et prendre en charge les malades affectés par le virus,HEALTH,"5,000,000",EUR,10/1/14,Commitment,Donor
Guinea,France,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"5,082,592",0,(Guinea) support to Institute Pasteur in Guinea to diagnose EVD and train Guinean staff,HEALTH,"4,000,000",EUR,9/13/14,Paid contribution,Donor
Guinea,France,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"16,506",0,(Guinea) In-kind - Conduire des missions d’expertise et de conseil dans le domaine de la santé publique (EPRUS),HEALTH,"12,000",EUR,4/15/14,Paid contribution,Donor
Guinea,France,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"78,899",0,(Guinea) In-kind - Transporter des médicaments et des équipements (through EPRUS),COORDINATION AND SUPPORT SERVICES,"59,884",EUR,9/17/14,Commitment,Donor
Guinea,France,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"635,324",0,(Guinea) Ebola response,FOOD,"500,000",EUR,10/11/14,Paid contribution,Donor and Agency
Guinea,France,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"30,303",0,(Guinea) In-kind - Transporter des médicaments et des équipements.(through NECONTRAS),HEALTH,"23,000",EUR,9/17/14,Commitment,Donor
Guinea,France,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"51,383",0,(Guinea) In-kind - Transporter des médicaments et des équipements.(through EPRUS),HEALTH,"39,000",EUR,9/17/14,Paid contribution,Donor
Guinea,Germany,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"345,781",0,(Guinea) Emergency medical assistance at the outbreak of hemorrhagic fever (Ebola) in West Africa (VN05 321.50 GIN 01/14),HEALTH,"250,000",EUR,5/9/14,Commitment,Donor
Guinea,Germany,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"2,903,832",0,(Guinea) Ebola Response,HEALTH,"2,200,320",EUR,11/4/14,Paid contribution,Donor and Agency
Guinea,Hungary,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"63,532",0,(Guinea) To support the implementation of WHO's Ebola response roadmap,HEALTH,"50,000",EUR,10/20/14,Commitment,Donor
Guinea,Italy,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"275,103",0,"(Guinea) Ebola Virus disease outbreak response, Guinea” to control the spread of Ebola Virus disease in affected districts, including Guekedou, Macenta and Kissidougou, reduce mortality in the affected population, and heighten outbreak response preparations in neighbouring districts and areas of Guinea",HEALTH,"200,000",EUR,4/2/14,Paid contribution,Donor and Agency
Guinea,Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"523,602",0,(Guinea) Emergency Grant Aid in response to the Ebola hemorrhagic fever outbreak,HEALTH,"52,000,000",JPY,4/7/14,Paid contribution,Donor and Agency
Guinea,Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"1,500,000",0,(Guinea) Ebola Response,HEALTH,,USD,10/7/14,Paid contribution,Donor and Agency
Guinea,Japan,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"300,000",0,(Guinea) (in-kind) emergency relief and medical supplies,HEALTH,,USD,9/25/14,Paid contribution,Donor
Guinea,Japan,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"150,000",0,(Guinea) IFRC Emergency Appeal,HEALTH,"15,500,000",JPY,8/28/14,Paid contribution,Donor and Agency
Guinea,Luxembourg,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"136,054",0,(Guinea) Medical aid (AH/MSF/2014/0002),HEALTH,"100,000",EUR,4/1/14,Commitment,Donor
Guinea,Netherlands,Médecins sans Frontières,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71118/5081,2014,"658,762",0,(Guinea) Emergency medical response to hemorrhagic fever outbreak in Guinea and nearby countries (26837 (DSH0118706),HEALTH,"500,000",EUR,9/2/14,Commitment,Donor
